Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1961","1961","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1961","1961","1000 ha","260","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1961","1961","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1962","1962","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1962","1962","1000 ha","265","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1962","1962","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1963","1963","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1963","1963","1000 ha","270","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1963","1963","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1964","1964","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1964","1964","1000 ha","275","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1964","1964","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1965","1965","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1965","1965","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1965","1965","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1966","1966","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1966","1966","1000 ha","285","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1966","1966","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1967","1967","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1967","1967","1000 ha","290","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1967","1967","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1968","1968","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1968","1968","1000 ha","295","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1968","1968","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1969","1969","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1969","1969","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1969","1969","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1970","1970","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1970","1970","1000 ha","305","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1970","1970","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1971","1971","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1971","1971","1000 ha","310","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1971","1971","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1972","1972","1000 ha","768","A","Official figure",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1972","1972","1000 ha","316","A","Official figure",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1972","1972","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1973","1973","1000 ha","768","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1973","1973","1000 ha","315","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1973","1973","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1974","1974","1000 ha","768","A","Official figure",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1974","1974","1000 ha","315","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1974","1974","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1975","1975","1000 ha","768","A","Official figure",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1975","1975","1000 ha","315","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1975","1975","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1976","1976","1000 ha","770","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1976","1976","1000 ha","315","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1976","1976","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1977","1977","1000 ha","770","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1977","1977","1000 ha","315","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1977","1977","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1978","1978","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1978","1978","1000 ha","315","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1978","1978","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1979","1979","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1979","1979","1000 ha","315","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1979","1979","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1980","1980","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1980","1980","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1980","1980","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1981","1981","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1981","1981","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1982","1982","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1982","1982","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1983","1983","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1983","1983","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1983","1983","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1984","1984","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1984","1984","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1984","1984","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1985","1985","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1985","1985","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1985","1985","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1986","1986","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1986","1986","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1986","1986","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1987","1987","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1987","1987","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1987","1987","1000 ha","500","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1988","1988","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1988","1988","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1988","1988","1000 ha","499","A","Official figure",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1989","1989","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1989","1989","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1989","1989","1000 ha","498","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1990","1990","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1990","1990","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1990","1990","1000 ha","497","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1991","1991","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1991","1991","1000 ha","320","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1991","1991","1000 ha","496","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1992","1992","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1992","1992","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1992","1992","1000 ha","495","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1993","1993","1000 ha","780","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1993","1993","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1993","1993","1000 ha","495","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1994","1994","1000 ha","800","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1994","1994","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1994","1994","1000 ha","495","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1995","1995","1000 ha","800","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1995","1995","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1995","1995","1000 ha","490","A","Official figure",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1996","1996","1000 ha","800","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1996","1996","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1996","1996","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1997","1997","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1997","1997","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1997","1997","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1998","1998","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1998","1998","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1998","1998","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","1999","1999","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","1999","1999","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","1999","1999","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2000","2000","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2000","2000","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2000","2000","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2001","2001","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2001","2001","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2001","2001","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2002","2002","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2002","2002","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2002","2002","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2003","2003","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2003","2003","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2003","2003","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2004","2004","1000 ha","900","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2004","2004","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2004","2004","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2005","2005","1000 ha","1000","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2005","2005","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2005","2005","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2006","2006","1000 ha","1000","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2006","2006","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2006","2006","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2007","2007","1000 ha","1000","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2007","2007","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2007","2007","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2008","2008","1000 ha","1000","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2008","2008","1000 ha","280","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2009","2009","1000 ha","1026.33","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2009","2009","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2009","2009","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2010","2010","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2010","2010","1000 ha","314","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2010","2010","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2011","2011","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2011","2011","1000 ha","339","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2011","2011","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2012","2012","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2012","2012","1000 ha","354","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2013","2013","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2013","2013","1000 ha","398","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2014","2014","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2014","2014","1000 ha","398","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2014","2014","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2015","2015","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2015","2015","1000 ha","398","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2016","2016","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2016","2016","1000 ha","398","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2017","2017","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2017","2017","1000 ha","340","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2018","2018","1000 ha","1180","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2018","2018","1000 ha","325","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2019","2019","1000 ha","1000","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2019","2019","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2020","2020","1000 ha","1000","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2020","2020","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2021","2021","1000 ha","1005","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2021","2021","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","490","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6621","Arable land","2022","2022","1000 ha","1005","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6650","Permanent crops","2022","2022","1000 ha","300","I","Imputed value",""
"RL","Land Use","93","Haiti","5110","Area","6655","Permanent meadows and pastures","2022","2022","1000 ha","490","I","Imputed value",""
